Source,Target,Weight
obama,osama,0.217
peac,obama,0.157
depress,obama,0.077
sad,obama,0.069
upset,obama,0.067
angri,obama,0.067
obama,delight,0.056
obama,quiet,0.052
cheer,obama,0.049
glad,obama,0.047
obama,unhappi,0.045
obama,enrag,0.042
obama,grief,0.041
calm,obama,0.038
annoy,obama,0.033
hate,obama,0.031
relax,obama,0.027
obama,irrit,0.022
happi,obama,0.021
obama,seren,0.017
obama,ecstat,0.012
peac,osama,0.123
sad,osama,0.064
osama,grief,0.062
upset,osama,0.061
angri,osama,0.061
depress,osama,0.059
glad,osama,0.056
quiet,osama,0.055
osama,enrag,0.052
delight,osama,0.051
annoy,osama,0.044
osama,unhappi,0.044
cheer,osama,0.04
hate,osama,0.034
irrit,osama,0.03
calm,osama,0.029
happi,osama,0.025
relax,osama,0.024
osama,ecstat,0.017
seren,osama,0.015
