Source,Target,Weight
sad,glad,0.614
upset,angri,0.579
upset,quiet,0.561
depress,upset,0.56
angri,quiet,0.56
relax,quiet,0.56
calm,quiet,0.544
depress,quiet,0.537
depress,angri,0.528
calm,relax,0.528
cheer,upset,0.528
annoy,glad,0.527
calm,upset,0.527
cheer,glad,0.525
relax,upset,0.523
depress,relax,0.521
calm,angri,0.517
cheer,quiet,0.515
cheer,relax,0.511
cheer,angri,0.511
annoy,angri,0.51
relax,angri,0.501
calm,depress,0.501
annoy,cheer,0.492
annoy,sad,0.487
cheer,peac,0.482
annoy,upset,0.476
annoy,quiet,0.476
angri,peac,0.473
happi,hate,0.473
calm,cheer,0.47
cheer,depress,0.468
peac,quiet,0.468
glad,peac,0.457
relax,peac,0.454
upset,irrit,0.453
depress,irrit,0.448
upset,peac,0.447
calm,peac,0.444
annoy,relax,0.443
annoy,calm,0.44
hate,sad,0.438
cheer,sad,0.435
annoy,peac,0.432
annoy,depress,0.427
irrit,quiet,0.426
depress,peac,0.425
angri,glad,0.419
sad,peac,0.419
relax,irrit,0.416
angri,irrit,0.415
calm,irrit,0.408
relax,glad,0.407
upset,glad,0.404
glad,quiet,0.4
happi,sad,0.384
relax,delight,0.38
calm,glad,0.38
depress,delight,0.378
hate,glad,0.372
angri,sad,0.371
quiet,delight,0.367
depress,glad,0.355
irrit,delight,0.354
upset,delight,0.354
unhappi,grief,0.349
upset,sad,0.341
calm,delight,0.341
sad,quiet,0.341
irrit,unhappi,0.339
angri,delight,0.334
seren,grief,0.331
annoy,irrit,0.329
cheer,irrit,0.326
relax,sad,0.326
happi,glad,0.324
calm,sad,0.323
cheer,delight,0.322
delight,unhappi,0.314
depress,sad,0.304
annoy,hate,0.299
peac,irrit,0.291
peac,delight,0.276
seren,ecstat,0.26
depress,unhappi,0.255
annoy,delight,0.25
seren,unhappi,0.242
glad,irrit,0.239
hate,peac,0.237
upset,unhappi,0.237
happi,annoy,0.237
cheer,hate,0.235
delight,grief,0.234
quiet,unhappi,0.224
relax,unhappi,0.219
glad,delight,0.217
calm,unhappi,0.213
happi,peac,0.212
irrit,grief,0.211
angri,unhappi,0.208
happi,cheer,0.203
sad,irrit,0.201
hate,angri,0.199
grief,ecstat,0.198
hate,quiet,0.183
hate,upset,0.177
hate,relax,0.177
calm,hate,0.176
sad,delight,0.173
seren,delight,0.172
cheer,unhappi,0.172
happi,angri,0.167
hate,depress,0.159
depress,grief,0.156
peac,unhappi,0.153
happi,quiet,0.153
happi,relax,0.151
happi,upset,0.148
happi,calm,0.148
annoy,unhappi,0.147
irrit,seren,0.145
upset,grief,0.141
ecstat,enrag,0.137
relax,grief,0.136
quiet,grief,0.134
happi,depress,0.133
unhappi,ecstat,0.133
calm,grief,0.131
angri,grief,0.122
glad,unhappi,0.113
cheer,grief,0.106
hate,irrit,0.105
depress,seren,0.103
relax,seren,0.095
sad,unhappi,0.095
peac,grief,0.094
upset,seren,0.094
quiet,seren,0.093
calm,seren,0.091
hate,delight,0.091
happi,irrit,0.087
annoy,grief,0.086
angri,seren,0.083
seren,enrag,0.08
happi,delight,0.077
delight,ecstat,0.076
cheer,seren,0.072
glad,grief,0.068
grief,enrag,0.067
irrit,ecstat,0.067
peac,seren,0.064
annoy,seren,0.058
sad,grief,0.055
hate,unhappi,0.048
glad,seren,0.046
depress,ecstat,0.045
upset,ecstat,0.041
happi,unhappi,0.041
relax,ecstat,0.04
unhappi,enrag,0.04
quiet,ecstat,0.039
calm,ecstat,0.038
sad,seren,0.037
angri,ecstat,0.035
cheer,ecstat,0.03
hate,grief,0.028
peac,ecstat,0.026
annoy,ecstat,0.025
delight,enrag,0.023
happi,grief,0.023
irrit,enrag,0.02
glad,ecstat,0.019
hate,seren,0.019
happi,seren,0.016
sad,ecstat,0.015
depress,enrag,0.015
quiet,enrag,0.014
upset,enrag,0.014
relax,enrag,0.013
calm,enrag,0.013
angri,enrag,0.012
cheer,enrag,0.01
peac,enrag,0.009
annoy,enrag,0.008
hate,ecstat,0.008
happi,ecstat,0.006
glad,enrag,0.006
sad,enrag,0.005
hate,enrag,0.003
