Source,Target,Type,Id,Label,timeset,Weight
annoy,hate,Undirected,189,,,0.303
annoy,irrit,Undirected,190,,,0.29
upset,angri,Undirected,191,,,0.193
upset,irrit,Undirected,192,,,0.181
upset,sad,Undirected,193,,,0.172
annoy,angri,Undirected,194,,,0.168
annoy,quiet,Undirected,195,,,0.164
annoy,upset,Undirected,196,,,0.163
angri,irrit,Undirected,197,,,0.162
depress,sad,Undirected,198,,,0.162
upset,quiet,Undirected,199,,,0.16
upset,unhappi,Undirected,200,,,0.158
calm,relax,Undirected,201,,,0.156
cheer,glad,Undirected,202,,,0.155
depress,upset,Undirected,203,,,0.155
angri,quiet,Undirected,204,,,0.15
annoy,sad,Undirected,205,,,0.149
sad,peac,Undirected,206,,,0.149
hate,irrit,Undirected,207,,,0.148
irrit,quiet,Undirected,208,,,0.148
relax,quiet,Undirected,209,,,0.145
angri,sad,Undirected,210,,,0.143
sad,glad,Undirected,211,,,0.137
calm,quiet,Undirected,212,,,0.135
depress,irrit,Undirected,213,,,0.134
hate,sad,Undirected,214,,,0.134
depress,grief,Undirected,215,,,0.133
depress,angri,Undirected,216,,,0.133
depress,unhappi,Undirected,217,,,0.131
annoy,depress,Undirected,218,,,0.13
happi,sad,Undirected,219,,,0.126
cheer,upset,Undirected,220,,,0.125
depress,quiet,Undirected,221,,,0.125
peac,osama,Undirected,222,,,0.0123
unhappi,grief,Undirected,223,,,0.119
upset,glad,Undirected,224,,,0.118
sad,unhappi,Undirected,225,,,0.118
irrit,unhappi,Undirected,226,,,0.112
angri,unhappi,Undirected,227,,,0.111
relax,glad,Undirected,228,,,0.111
peac,quiet,Undirected,229,,,0.111
quiet,delight,Undirected,230,,,0.109
hate,upset,Undirected,231,,,0.109
depress,relax,Undirected,232,,,0.108
cheer,delight,Undirected,233,,,0.108
hate,angri,Undirected,234,,,0.107
sad,quiet,Undirected,235,,,0.107
peac,seren,Undirected,236,,,0.106
relax,peac,Undirected,237,,,0.104
hate,quiet,Undirected,238,,,0.104
quiet,unhappi,Undirected,239,,,0.103
peac,delight,Undirected,240,,,0.103
happi,glad,Undirected,241,,,0.103
relax,delight,Undirected,242,,,0.102
sad,grief,Undirected,243,,,0.101
peac,grief,Undirected,244,,,0.1
angri,peac,Undirected,245,,,0.097
sad,irrit,Undirected,246,,,0.097
calm,peac,Undirected,247,,,0.097
cheer,quiet,Undirected,248,,,0.097
cheer,sad,Undirected,249,,,0.096
calm,angri,Undirected,250,,,0.095
relax,seren,Undirected,251,,,0.093
seren,delight,Undirected,252,,,0.092
annoy,glad,Undirected,253,,,0.091
glad,delight,Undirected,254,,,0.09
happi,peac,Undirected,255,,,0.089
calm,upset,Undirected,256,,,0.088
happi,cheer,Undirected,257,,,0.087
hate,depress,Undirected,258,,,0.087
relax,irrit,Undirected,259,,,0.086
annoy,unhappi,Undirected,260,,,0.086
calm,irrit,Undirected,261,,,0.086
delight,grief,Undirected,262,,,0.085
upset,grief,Undirected,263,,,0.085
glad,quiet,Undirected,264,,,0.084
cheer,relax,Undirected,265,,,0.083
quiet,seren,Undirected,266,,,0.083
calm,depress,Undirected,267,,,0.081
delight,unhappi,Undirected,268,,,0.081
depress,peac,Undirected,269,,,0.081
seren,grief,Undirected,270,,,0.08
happi,hate,Undirected,271,,,0.079
peac,unhappi,Undirected,272,,,0.079
relax,upset,Undirected,273,,,0.078
cheer,depress,Undirected,274,,,0.076
angri,grief,Undirected,275,,,0.076
depress,glad,Undirected,276,,,0.075
upset,peac,Undirected,277,,,0.075
glad,peac,Undirected,278,,,0.075
annoy,calm,Undirected,279,,,0.073
calm,seren,Undirected,280,,,0.07
cheer,angri,Undirected,281,,,0.067
upset,delight,Undirected,282,,,0.067
depress,delight,Undirected,283,,,0.067
annoy,cheer,Undirected,284,,,0.066
hate,unhappi,Undirected,285,,,0.066
angri,delight,Undirected,286,,,0.065
sad,osama,Undirected,287,,,0.0064
glad,grief,Undirected,288,,,0.064
cheer,peac,Undirected,289,,,0.063
quiet,grief,Undirected,290,,,0.063
osama,grief,Undirected,291,,,0.0062
relax,angri,Undirected,292,,,0.061
upset,osama,Undirected,293,,,0.0061
seren,unhappi,Undirected,294,,,0.061
angri,osama,Undirected,295,,,0.0061
angri,glad,Undirected,296,,,0.06
depress,osama,Undirected,297,,,0.0059
happi,unhappi,Undirected,298,,,0.059
calm,delight,Undirected,299,,,0.059
hate,glad,Undirected,300,,,0.059
delight,ecstat,Undirected,301,,,0.058
glad,osama,Undirected,302,,,0.0056
glad,irrit,Undirected,303,,,0.056
quiet,osama,Undirected,304,,,0.0055
calm,unhappi,Undirected,305,,,0.052
glad,ecstat,Undirected,306,,,0.052
glad,unhappi,Undirected,307,,,0.052
osama,enrag,Undirected,308,,,0.0052
delight,osama,Undirected,309,,,0.0051
happi,angri,Undirected,310,,,0.051
calm,sad,Undirected,311,,,0.051
calm,glad,Undirected,312,,,0.051
peac,irrit,Undirected,313,,,0.048
irrit,delight,Undirected,314,,,0.048
cheer,unhappi,Undirected,315,,,0.048
relax,sad,Undirected,316,,,0.048
happi,upset,Undirected,317,,,0.047
calm,hate,Undirected,318,,,0.047
sad,delight,Undirected,319,,,0.047
relax,unhappi,Undirected,320,,,0.047
relax,grief,Undirected,321,,,0.046
depress,seren,Undirected,322,,,0.046
happi,annoy,Undirected,323,,,0.045
relax,ecstat,Undirected,324,,,0.045
grief,ecstat,Undirected,325,,,0.044
irrit,grief,Undirected,326,,,0.044
annoy,osama,Undirected,327,,,0.0044
annoy,peac,Undirected,328,,,0.044
